Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
03/07/2022,2022,July,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Lifeguard exercises,,,M,31,Injuries to chest and right hand,No Fatal,Morning,5'Shark
21/06/2022,2022,June,Unprovoked,USA,North & South Carolina,"Myrtle Beach, Horry County",Unknown,,,M,14,,No Fatal,Unknown,Unknown
09/04/2022,2022,April,Provoked,USA,New Jersey,Tutle Back Zoo,Feeding,,,F,12,Finger nipped by captive shark PROVOKED INCIDENT,No Fatal,Afternoon,Epaulette Shark
16/02/2022,2022,February,Unprovoked,AUSTRALIA,New South Wales,"Buchan Point, Sydney",Swimming,Yes,No,M,36,FATAL,Fatal,Afternoon,Unknown
22/12/2021,2021,December,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Surfing,Yes,Yes,F,42,Punctures to leg,No Fatal,Unknown,Blacktip Shark
13/08/2021,2021,August,Unprovoked,CANADA,Nova Scotia,Cape Breton Island,Swimming,Yes,No,F,21,Thigh injured,No Fatal,`17H00,White Shark
14/06/2021,2021,June,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,,No,M,12,Right calf bitten,No Fatal,Unknown,Unknown
12/05/2021,2021,May,Provoked,BELIZE,Ambergris Key,,Baiting sharks,,,M,57,Right hand bitten,No Fatal,Morning,8 Ft Shark
25/03/2021,2021,March,Unprovoked,USA,Florida,Indian River County,Unknown,,,F,16,"Injuries to hands, arm and knees",No Fatal,Morning,3' To 5' Shark
22/01/2021,2021,January,Unprovoked,USA,Hawaii,Maui,Snorkeling,Yes,No,M,73,Puncture wounds to left calf,No Fatal,Morning,White Shark
30/10/2020,2020,October,Unprovoked,BAHAMAS,Grand Bahama Island,East End Point,Spearfishing,No,No,M,Unknown,Hand/wrist bitten,No Fatal,Unknown,Reef Shark
31/07/2020,2020,July,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,F,22,Lacerations to foot,No Fatal,Afternoon,Unknown
30/05/2020,2020,May,Unprovoked,AUSTRALIA,Queensland,Lucinda,Spearfishing,No,No,M,18,"No injury, swim fin bitten",No Fatal,Unknown,Bull Shark
30/11/2019,2019,November,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,9,"No injury, knocked from his board by the shark",No Fatal,Unknown,Blacktip Shark
03/08/2019,2019,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,20,Bite to left hand and wrist,No Fatal,Afternoon,Unknown
10/07/2019,2019,July,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,Yes,Yes,M,22,Leg injured,No Fatal,Morning,White Shark
04/02/2019,2019,February,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,Yes,Yes,M,Unknown,Multiple lacerations to leg,No Fatal,Afternoon,Tiger Shark
04/02/2019,2019,February,Unprovoked,AUSTRALIA,New South Wales,Urunga area,Surfing,Yes,Yes,M,50,"No injury, surfboard bitten",No Fatal,Morning,Bull Shark
11/11/2018,2018,November,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Tinley Manor,Fishing,,,M,41,Surf-ski bitten but no injury to occupant,No Fatal,Morning,White Shark
03/11/2018,2018,November,Unprovoked,EGYPT,Unknown,Brothers' Island,Diving,No,No,M,Unknown,Calf muscle removed,No Fatal,Unknown,White Shark
23/04/2018,2018,April,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,,,M,32,5-inch cut to hand,No Fatal,Evening,Tiger Shark
01/02/2018,2018,February,Unknown,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,No,No,M,14,No injury no attack. This is considerd an encounter,No Fatal,Unknown,2M Shark
14/01/2018,2018,January,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,No,No,M,Unknown,Severe laceration to left forearm,No Fatal,Afternoon,Reef Shark
30/11/2017,2017,November,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,No,No,M,26,Serious injury to leg,No Fatal,Unknown,"Tiger Shark, Female"
22/10/2017,2017,October,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking,,,F,15,Minor injuries,No Fatal,Afternoon,White Shark
02/09/2017,2017,September,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,Yes,No,F,Unknown,Lacerations to foot,No Fatal,Unknown,Bull Shark
14/07/2017,2017,July,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,Yes,Yes,M,Unknown,Pulled off board by shark but no injury,No Fatal,Afternoon,White Shark
29/06/2017,2017,June,Unknown,USA,North & South Carolina,Wrightsville Beach,Fishing,,,M,Unknown,"Arm injured by hook, not by a shark",Unknown,Evening,No Shark Invovlement
13/10/2016,2016,October,Unknown,MEXICO,Unknown,Guadalupe Island,Diving,No,No,M,Unknown,"Shark breached cage, no injury to diver",Unknown,Unknown,White Shark
02/10/2016,2016,October,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,21,Cuts to dorsal surface of left foot,No Fatal,Morning,Bull Shark
29/08/2016,2016,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,37,Minor injury to ankle,No Fatal,Afternoon,Tiger Shark
08/07/2016,2016,July,Unprovoked,SPAIN,Canary Islands,"Las Teresitas, Tenerife",Wading,,No,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",No Fatal,Unknown,Angel Shark
05/06/2016,2016,June,Unprovoked,AUSTRALIA,Western Australia,Mindarie,Diving,No,No,F,60,FATAL,Fatal,Morning,3+ M Shark
04/02/2016,2016,February,Unprovoked,AUSTRALIA,New South Wales,Hams Beach,Surfing,Yes,Yes,M,40,"No injury, shark bit board",No Fatal,Afternoon,Unknown
24/01/2016,2016,January,Unknown,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,Watercraft,,,M,Unknown,"No injury to occupants, shark leapt into boat",No Fatal,Unknown,Mako Shark
16/11/2015,2015,November,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,Yes,Yes,M,Unknown,Right heel injured,No Fatal,Afternoon,Unknown
01/09/2015,2015,September,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,,No,F,37,Left foot & ankle bitten,No Fatal,Morning,Small Shark
04/07/2015,2015,July,Unprovoked,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",Spearfishing,No,No,F,23,Lacerations to lower leg & ankle,No Fatal,Unknown,6' Shark
23/01/2015,2015,January,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon Beach,Floating,Yes,,M,24,Foot bitten,No Fatal,Afternoon,Mako Shark
13/07/2014,2014,July,Unknown,BAHAMAS,West End,Tiger Beach,Diving,No,No,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",Unknown,Night,Unknown
12/07/2014,2014,July,Unprovoked,USA,North & South Carolina,"Masonboro Island, New Hanover County",Surfing,Yes,Yes,M,Unknown,Lacerations to hand and wrist,No Fatal,Unknown,Unknown
01/06/2014,2014,June,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,Yes,Yes,M,Unknown,Lacerations & puncture wounds to ankle and foot,No Fatal,Morning,Bull Shark
15/06/2013,2013,June,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,Yes,Yes,F,Unknown,Lacerations to left ankle,No Fatal,Unknown,Unknown
06/06/2013,2013,June,Unprovoked,AUSTRALIA,New South Wales,Target Beach,Surfing,Yes,Yes,M,Unknown,"No injury, board damaged",No Fatal,Afternoon,6' Shark
01/12/2012,2012,December,Unprovoked,NEW ZEALAND,South Island,"Sunday Cove, Fiordland",Diving,No,No,F,25,"No injury, shark grabbed hood",No Fatal,Unknown,Seven-Gill Shark
04/11/2012,2012,November,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,No,No,M,30,Right lower leg and foot bitten,No Fatal,Morning,"Tiger Shark, 15'"
16/10/2012,2012,October,Unknown,USA,Florida,Hobe Sound,Unknown,,,M,Unknown,Laceration to toe,Unknown,Afternoon,Unknown
10/09/2012,2012,September,Unprovoked,TONGA,Vava'U,Eueiki Island,Swimming,Yes,No,F,29,Injuries to thighs & buttocks,No Fatal,Unknown,Bull Shark
06/03/2012,2012,March,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",Feeding,,,F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,No Fatal,Morning,Nurse Shark
31/12/2011,2011,December,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Unknown,,,M,Unknown,Hand injured,No Fatal,Afternoon,Unknown
11/12/2011,2011,December,Unprovoked,AUSTRALIA,New South Wales,Angourie,Surfing,Yes,Yes,M,51,5 puncture wounds to thigh,No Fatal,Night,White Shark
20/11/2011,2011,November,Unprovoked,PAPUA NEW GUINEA,East New Britain,Pigeon Island,Diving,No,No,M,Unknown,"No injury, shark collided with diver",No Fatal,Unknown,Unknown
28/02/2011,2011,February,Provoked,AUSTRALIA,Queensland,Between,Fishing,,,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,No Fatal,Morning,Bull Shark
01/12/2010,2010,December,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,Yes,No,M,46,Lacerations to right leg,No Fatal,Morning,Mako Shark
02/07/2010,2010,July,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,Yes,Yes,M,19,Laceration to left foot,No Fatal,Evening,4' Shark
30/07/2009,2009,July,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,Yes,Yes,M,14,Left forearm grazed & puncture marks in wetsuit,No Fatal,Morning,Unknown
01/06/2009,2009,June,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,Yes,No,F,50,FATAL,Fatal,Morning,White Shark
07/02/2009,2009,February,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,Surfing,Yes,Yes,M,41,"No injury, surfboard dented",No Fatal,Morning,White Shark
26/01/2009,2009,January,Unknown,BRAZIL,Unknown,Praia do Olho d'Aqua,Unknown,,,M,17,Probable drowning with post-mortem bites,Unknown,Unknown,Unknown
11/01/2009,2009,January,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,Yes,Yes,M,31,Left thigh severely bitten,No Fatal,Morning,White Shark
01/12/2008,2008,December,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,Spearfishing,No,No,M,Unknown,FATAL,Fatal,Unknown,Zambesi Shark
24/07/2008,2008,July,Unprovoked,USA,North & South Carolina,"Topsail Island, Pender County",Wading,,No,F,8,Lacerations to dorsum of right foot,No Fatal,Afternoon,3' To 4' Shark
28/03/2008,2008,March,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Scottburgh,Fishing,,,M,39,Right leg bitten,No Fatal,Unknown,Unknown
05/06/2007,2007,June,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",Surfing,Yes,Yes,M,Unknown,Lacerations to leg & ankle,No Fatal,Morning,Unknown
12/07/2006,2006,July,Unprovoked,USA,North & South Carolina,"Kiawah Island, Charleston County",Swimming,Yes,No,F,21,Ankle & foot bitten,No Fatal,Afternoon,Unknown
27/02/2006,2006,February,Unprovoked,USA,Hawaii,"Makena, Maui",Wading,,No,F,15,Deep laceration to right calf,No Fatal,Afternoon,5' To 7' Shark
04/01/2006,2006,January,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,Yes,Yes,M,21,3 puncture wounds in right wrist & hand,No Fatal,Afternoon,4' Shark
20/12/2005,2005,December,Unknown,ATLANTIC OCEAN,600 Nm West Of The Canary Islands,,Watercraft,,,Unknown,Unknown,"No injury to occupants, shark rammed boat for 15 minutes",No Fatal,Afternoon,3 M Shark
11/10/2005,2005,October,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Diving,No,No,F,57,No injury,No Fatal,Afternoon,Reef Shark
02/09/2005,2005,September,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Bathing,Yes,No,M,62,Right foot bitten,No Fatal,Morning,Unknown
19/08/2005,2005,August,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),Surfing,Yes,Yes,M,12,Left foot bitten,No Fatal,Evening,Unknown
28/05/2005,2005,May,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,Yes,No,M,33,Left foot bitten,No Fatal,Afternoon,Small Shark
16/04/2005,2005,April,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,Yes,Yes,M,40,"No injury, board bitten",No Fatal,Morning,Whaler Shark
26/11/2004,2004,November,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,,,M,16,Lacerations on lower leg & foot,No Fatal,Unknown,Raggedtooth Shark
30/10/2004,2004,October,Unknown,NEW ZEALAND,North Island,Whangarei,Unknown,,,Unknown,Unknown,No injury,Unknown,Unknown,Unknown
02/07/2004,2004,July,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,Snorkeling,Yes,No,F,15,Hand severed,No Fatal,Unknown,Black Tipped Shark
14/06/2004,2004,June,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",Diving,No,No,F,Unknown,Foot bitten,No Fatal,Unknown,Unknown
05/10/2003,2003,October,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,30,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,No Fatal,Afternoon,Unknown
14/09/2003,2003,September,Unknown,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Watercraft,,,Unknown,31,"No injury to occupants, shark bit boat",No Fatal,Morning,2 M Cow Shark
20/04/2003,2003,April,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,18,Left ankle bitten or right foot,No Fatal,Afternoon,Unidentified Species
16/09/2002,2002,September,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,Yes,Yes,Unknown,Unknown,"No injury, shark fin seen just before board ripped away & dragged out to sea",No Fatal,Morning,Unknown
05/08/2002,2002,August,Unprovoked,USA,North & South Carolina,"Topsail Beach, Pender County",Wading,,No,M,14,Leg lacerated,No Fatal,Morning,1.2 M To 1.5 M [4' To 5'] Shark
21/04/2002,2002,April,Unknown,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing,,,M,52,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",Unknown,Unknown,Unknown
01/01/2002,2002,January,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,Yes,No,M,35,Lacerations to buttocks & thigh,No Fatal,Afternoon,"Tiger Shark, 1.8 M [6']"
23/11/2001,2001,November,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,Yes,Yes,M,49,"No Injury, shark hit board",No Fatal,Unknown,Whaler Shark
26/08/2001,2001,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,Yes,Yes,M,18,Thigh & foot bitten,No Fatal,Afternoon,Unknown
22/08/2001,2001,August,Unprovoked,USA,Florida,"Daytona, Volusia County",Surfing,Yes,Yes,M,17,Foot lacerated,No Fatal,Afternoon,A Small Shark
15/07/2001,2001,July,Unprovoked,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,Yes,Yes,M,48,Left foot & heel lacerated,No Fatal,Afternoon,Unknown
03/03/2001,2001,March,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,Yes,No,M,20,FATAL,Fatal,Unknown,Unknown
29/10/2000,2000,October,Unknown,AUSTRALIA,Queensland,Peel Island,Watercraft,,,Unknown,31,"No Injury to occupant, shark holed and sank boat",No Fatal,Evening,White Shark
02/06/2000,2000,June,Unprovoked,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,Yes,No,M,13,Right forearm lacerated,No Fatal,Afternoon,Unknown
03/03/2000,2000,March,Unknown,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Kayaking,,,M,27,Reported as shark attack but probable drowning,Unknown,Unknown,Unknown
05/01/2000,2000,January,Unprovoked,THAILAND,Phang Nga Province,Phang nga Island,Diving,No,No,M,35,FATAL,Fatal,Unknown,Unknown
15/11/1999,1999,November,Unprovoked,USA,California,"Waddell Reef, Santa Cruz County",Surfing,Yes,Yes,M,Unknown,"No injury, board bitten",No Fatal,Unknown,White Shark
04/09/1999,1999,September,Provoked,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,,No,M,7,Left knee nipped by captive shark PROVOKED INCIDENT,No Fatal,Unknown,0.9 M [3'] Shark
17/06/1999,1999,June,Unprovoked,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,Yes,Yes,M,21,Right hand and wrist lacerated,No Fatal,Morning,3' To 4' Shark
24/12/1998,1998,December,Provoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,Yes,Yes,M,19,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT,No Fatal,Morning,Unknown
22/12/1998,1998,December,Unprovoked,AUSTRALIA,South Australia,Middleton Beach,Wading,,No,F,21,2 puncture wounds in left leg,No Fatal,Afternoon,Unknown
02/11/1998,1998,November,Provoked,JAPAN,Southern Japan,460 miles off Iwakuni,Fishing,,,M,52,PROVOKED INCIDENT    Knee bitten by shark trapped in net,No Fatal,Unknown,6' Shark
25/07/1998,1998,July,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,13,Calf bitten,No Fatal,P.M.,Unknown
08/06/1998,1998,June,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,Yes,Yes,M,18,"2-inch laceration on dorsum of foot, 1-inch laceration on sole.",No Fatal,Afternoon,Unknown
17/04/1998,1998,April,Provoked,USA,Florida,"Marathon, Monroe County",Diving,No,No,M,16,"He grabbed shark's tail, shark bit his chest & held on.  PROVOKED INCIDENT",No Fatal,Unknown,Nurse Shark
14/01/1998,1998,January,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Surfing,Yes,Yes,M,23,Leg bitten,No Fatal,Afternoon,Small Dusky Shark Or Blackfin Shark
25/12/1997,1997,December,Unprovoked,USA,Florida,"Hollywood Beach, Broward County",Swimming,Yes,No,M,8,Left leg gashed knee to ankle,No Fatal,Unknown,Unknown
16/09/1997,1997,September,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,Yes,No,M,20,FATAL,Fatal,Unknown,Unknown
10/08/1997,1997,August,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,Yes,Yes,M,17,Lacerations to foot,No Fatal,Morning,Unknown
02/06/1997,1997,June,Unprovoked,USA,Florida,"Daytona Beach Shores,  Volusia County",Surfing,Yes,Yes,M,33,4 lacerations above left ankle,No Fatal,Morning,1.2 M [4'] Shark (Spinner Shark?)
18/09/1996,1996,September,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,Yes,No,M,14,4 or 5 lacerations on left ankle,No Fatal,Afternoon,Unknown
13/08/1995,1995,August,Unknown,USA,North & South Carolina,"Emerald Isle, Carteret County",Swimming,Yes,No,M,15,Death resulted fom drowning; tiger shark bites were post-mortem,Unknown,Unknown,Unknown
28/07/1995,1995,July,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,Unknown,Minor laceration on lower leg,No Fatal,Afternoon,Unknown
31/05/1995,1995,May,Unprovoked,HONG KONG,New Territories,Sai Kung Beach,Diving,No,No,Unknown,44,"FATAL, right leg severed, left leg lacerated",Fatal,Unknown,Unknown
24/01/1995,1995,January,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Isipingo,Swimming,Yes,No,M,14,"FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated",Fatal,Afternoon,"Tiger Shark, 1.8 M [6']"
15/04/1994,1994,April,Unprovoked,REUNION,Saint-Joseph,Lieu-dit Cayenne,Unknown,,,Unknown,Unknown,FATAL,Fatal,Unknown,Bull Shark
19/08/1993,1993,August,Unprovoked,USA,Hawaii,"Paukukalo, Maui",Surfing,Yes,Yes,M,Unknown,Abrasions & board bitten,No Fatal,Morning,Unknown
18/09/1992,1992,September,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Body boarding,Yes,Yes,M,Unknown,Left leg severely bitten,No Fatal,Afternoon,Unknown
19/02/1992,1992,February,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Body boarding,Yes,Yes,M,Unknown,FATAL Disappeared. His board washed ashore next morning with crescent-shaped piece missing and serrated toothmarks of a shark,Fatal,Afternoon,Tiger Shark?
08/10/1989,1989,October,Unknown,USA,North & South Carolina,"Between Wrightsville Beach & Carolina Beach, New Hanover County",Diving,No,No,M,49,FATAL,Unknown,Afternoon,Unknown
22/08/1989,1989,August,Unprovoked,USA,Florida,"St Augustine, St Johns County",Swimming,Yes,No,M,21,3 wounds on left hand,No Fatal,Unknown,1.2 M [4'] Shark
21/09/1988,1988,September,Unprovoked,PAPUA NEW GUINEA,New Ireland,Between Nago and Makau,Diving,No,No,M,27,FATAL,Fatal,Morning,Unknown
22/08/1988,1988,August,Provoked,USA,Louisiana,New Orleans,Diving,No,No,M,Unknown,Arm bitten by captive shark PROVOKED INCIDENT,No Fatal,Unknown,"Tiger Shark, 1.8 M [6']"
27/05/1988,1988,May,Unprovoked,SOUTH KOREA,Unknown,,Diving,No,No,F,38,FATAL,Fatal,Unknown,Unknown
31/03/1988,1988,March,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Wading,,No,F,30,Foot bitten,No Fatal,Unknown,Unknown
01/11/1987,1987,November,Unknown,SOUTH AFRICA,Kwazulu-Natal,St. Lucia,Unknown,,,M,Unknown,Possible drowning / scavenging,Unknown,Unknown,Unknown
01/07/1986,1986,July,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,LaMercy,Spearfishing,No,No,M,26,Minor lacerations on left hand,No Fatal,Afternoon,1.2 M [4'] Dusky Shark
12/01/1986,1986,January,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",Surfing,Yes,Yes,M,22,Puncture wounds to both feet,No Fatal,Morning,Blacktip Shark
03/02/1985,1985,February,Unprovoked,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Surfing,Yes,Yes,M,16,Right foot bitten,No Fatal,Afternoon,Unknown
19/09/1984,1984,September,Unprovoked,USA,Florida,Volusia County,Swimming,Yes,No,Unknown,Unknown,No details,Unknown,Unknown,Unknown
10/03/1984,1984,March,Unknown,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,Watercraft,,,M,Unknown,"No injury to occupant, shark seized oar and disappeared with it.",No Fatal,Unknown,2.5 M [8.25'] Shark
01/03/1984,1984,March,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Unknown,,,Unknown,Unknown,No details,Unknown,Unknown,Unknown
22/12/1983,1983,December,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River,Swimming,Yes,No,M,16,"Left calf, ankle & foot lacerated",No Fatal,Morning,Unknown
13/08/1983,1983,August,Unprovoked,USA,Florida,"6 miles south of Boca Chica Key, Monroe County",Diving,No,No,F,22,Right leg severely bitten,No Fatal,Morning,Bull Shark
01/06/1983,1983,June,Unprovoked,BAHAMAS,Berry Islands,Whale Cay,Spearfishing,No,No,M,Unknown,Lacerations to thigh & buttocks,No Fatal,Afternoon,Reef Shark
02/04/1983,1983,April,Unknown,SOUTH AFRICA,Kwazulu-Natal,Mpande,Unknown,,,M,Unknown,Survived,Unknown,Unknown,Unknown
19/10/1981,1981,October,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Inspecting teeth of supposedly dead (hooked & shot) shark,,,M,Unknown,Hand lacerated  PROVOKED INCIDENT,No Fatal,Unknown,White Shark
16/05/1981,1981,May,Unprovoked,USA,Florida,"Jacksonville, Duval County",Diving,No,No,M,Unknown,Left arm bitten,No Fatal,Unknown,Lemon Shark
14/09/1979,1979,September,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Diving,No,No,M,18,Leg bitten,No Fatal,Unknown,A Small Shark
26/02/1977,1977,February,Unprovoked,AUSTRALIA,New South Wales,"Kingscliffe Beach, south of Tweed Heads",Body boarding,Yes,Yes,M,24,"Left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",No Fatal,Unknown,4 M [13'] Shark
08/01/1976,1976,January,Unprovoked,USA,Florida,"Off Fort Pierce, St Lucie County",Spearfishing,No,No,M,25,Puncture wounds to head & neck,No Fatal,Unknown,6' Shark
12/10/1975,1975,October,Unprovoked,AUSTRALIA,New South Wales,"Lennox Head, Ballina",Surfing,Yes,Yes,M,20,"Cracked jaw & broken tooth, shark took chunk out of surfboard",No Fatal,Unknown,Whaler Shark
01/06/1975,1975,June,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,,,M,Unknown,Slightly injured when he stepped on a shark PROVOKED INCIDENT,No Fatal,Unknown,Unknown
02/07/1974,1974,July,Sea Disaster,USA,Florida,Gulf of Mexico,Adrift after the sinking of the motor yacht princess dianne,,,M,10,Arm bitten FATAL,Fatal,Unknown,3.7 M [12'] Sharks
24/11/1973,1973,November,Unprovoked,USA,Florida,"Ormond By The Sea, Volusia County",Surfing,Yes,Yes,M,13,Foot bitten,No Fatal,Afternoon,Unknown
21/03/1972,1972,March,Provoked,PACIFIC OCEAN,Unknown,,Fishing,,,M,33,Arm bitten by hooked shark PROVOKED INCIDENT,No Fatal,Unknown,Unknown
01/06/1971,1971,June,Unprovoked,BRITISH ISLES,South Devon,Beesands,Diving,No,No,M,32,"No injury, said to have been attacked by shark but drove it away with a lobster hook",No Fatal,Unknown,3.6 M  Porbeagle Shark
01/02/1969,1969,February,Unknown,AUSTRALIA,Queensland,Cooktown,Diving,No,No,M,52,No details,Unknown,Unknown,Unknown
02/01/1969,1969,January,Provoked,BAHAMAS,Eleuthera,,Sight-seeing,,,Unknown,Unknown,"No injury to occupants, shark grabbed prop, Leodorn hit shark with oar, shark bit oar in half PROVOKED INCIDENT",No Fatal,Unknown,10' Shark
11/04/1968,1968,April,Unprovoked,PAPUA NEW GUINEA,Gulf Province,Orokolo Bay,Swimming,Yes,No,M,7,FATAL Laceration to chest,Fatal,Unknown,Unknown
18/12/1967,1967,December,Unprovoked,FIJI,Unknown,,Unknown,,,M,27,Arm lacerated,No Fatal,Morning,Unknown
07/09/1967,1967,September,Unprovoked,USA,Florida,"Key West, Monroe County",Spearfishing,No,No,Unknown,Unknown,Survived,No Fatal,Afternoon,Unknown
13/09/1966,1966,September,Provoked,AUSTRALIA,Western Australia,Albany,Spearfishing,No,No,M,Unknown,Involved a speared shark but no other details PROVOKED INCIDENT,Unknown,Afternoon,Unknown
13/08/1966,1966,August,Unprovoked,ITALY,Taranto Province,"Pulsano, near Taranto",Attacked shark with fists,,,M,21,Arm lacerated,No Fatal,Unknown,Small Shark
01/08/1966,1966,August,Unprovoked,USA,Florida,"Municipal Bathing area, Riviera Beach, Palm Beach County",Wading,,No,M,8,"No injury, mother lifted him from the water",No Fatal,Afternoon,Blacktip Shark
21/11/1965,1965,November,Provoked,AUSTRALIA,Queensland,Near Brisbane,Fishing,,,M,43,FATAL PROVOKED INCIDENT,Fatal,Unknown,4.6 M [15'] Shark
