Date,Year,Month,Type,Country,Area,Location,Activity,Activity on surface,Table Presence,Sex,Age,Injury,Damage,Time,Species
20/02/2012,2012,February,Unknown,SOUTH AFRICA,Western Cape Province,Strandfontein,Watercraft,,,Unknown,Unknown,"No injury to occupants, boat damaged",No Fatal,Unknown,White Shark
22/10/2011,2011,October,Unprovoked,AUSTRALIA,Western Australia,Rottnest Island,Diving,No,No,M,32,FATAL,Fatal,Afternoon,White Shark
15/08/2011,2011,August,Unprovoked,USA,North & South Carolina,Beaufort Inlet,Swimming,Yes,No,M,54,Lower right leg bitten,No Fatal,Afternoon,Unknown
04/02/2011,2011,February,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Fishing,,,M,Unknown,Left foot bitten PROVOKED INCIDENT,No Fatal,Unknown,Unknown
30/11/2010,2010,November,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,Yes,No,F,48,Foot and arm bitten,No Fatal,Afternoon,White Shark
13/04/2010,2010,April,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,Yes,Yes,M,35,Both feet bitten,No Fatal,Morning,2 M Shark
06/02/2010,2010,February,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,No,No,M,Unknown,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",No Fatal,Unknown,2 M To 3 M Shark
09/01/2010,2010,January,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,Yes,No,F,9,2 sets of minor lacerations below her right knee,No Fatal,Unknown,White Shark
12/12/2009,2009,December,Unknown,AUSTRALIA,New South Wales,Hawks Nest Beach,Watercraft,,,Unknown,Unknown,No injury to occupants; shark bit steering oar,No Fatal,Morning,White Shark
13/11/2009,2009,November,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,Yes,Yes,F,27,Foot bitten,No Fatal,Afternoon,Unknown
06/08/2009,2009,August,Unprovoked,USA,Hawaii,Kawa'a,Surfing,Yes,Yes,M,Unknown,"No injury, surfboard bitten",No Fatal,Morning,"Tiger Shark, 12"
18/03/2009,2009,March,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Yes,Yes,F,17,Minor bite to ankle,No Fatal,Afternoon,3' To 4' Shark
17/03/2009,2009,March,Unprovoked,MALAYSIA,Strait Of Malacca,Pulau Payar Island,Feeding,,,F,Unknown,Minor injury,No Fatal,Unknown,Blacktip Shark
22/02/2009,2009,February,Unprovoked,AUSTRALIA,Queensland,Batt Reef,Fishing,,,M,Unknown,Severe laceration to finger,No Fatal,Morning,Unknown
06/10/2008,2008,October,Unprovoked,CROATIA,"Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,No,No,M,43,Calf bitten,No Fatal,Morning,White Shark
01/09/2008,2008,September,Unprovoked,USA,Florida,Hutchinson Island,Surfing,Yes,Yes,M,Unknown,Right hand bitten,No Fatal,Morning,Unknown
27/01/2008,2008,January,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta,Accidentally stood on hooked shark's tail before attempting to gut it,,,M,20,Laceration to left knee PROVOKED INCIDENT,No Fatal,Morning,Mako Shark
28/07/2007,2007,July,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,Yes,Yes,M,20,"No injury, shark bit surfboard",No Fatal,Night,Unknown
18/07/2007,2007,July,Provoked,NORWAY,Oslo Fjord,Sjøstrand,Diving,No,No,M,48,PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm,No Fatal,Unknown,"3' Small Spotted Catshark, Scyliorhinus Canicula"
10/05/2007,2007,May,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,F,21,Knee bitten,No Fatal,Afternoon,4' To 5' Shark
05/03/2007,2007,March,Provoked,NEW ZEALAND,Cook Islans,Penhryn Island,Spearfishing,No,No,M,16,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,No Fatal,Unknown,Tiger Shark
10/10/2006,2006,October,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,Yes,Yes,M,20,Left ankle bitten,No Fatal,Morning,Unknown
09/04/2006,2006,April,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Body boarding,Yes,Yes,M,15,Leg bitten,No Fatal,Afternoon,Raggedtooth Shark
25/11/2005,2005,November,Unprovoked,AUSTRALIA,Victoria,Flinders,Surfing,Yes,Yes,M,18,"2 lacerations on leg, each 4 to 5 long",No Fatal,Afternoon,1.8 M Shark
30/10/2004,2004,October,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,,,M,52,Right ankle & foot lacerated,No Fatal,Morning,White Shark
22/03/2004,2004,March,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,Spearfishing,No,No,M,Unknown,No injury,No Fatal,Morning,Whaler Shark
31/10/2003,2003,October,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,Yes,Yes,F,13,Left arm severed below shoulder,No Fatal,Morning,"Tiger Shark, 14'"
21/09/2003,2003,September,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,21,Left foot bitten,No Fatal,Morning,Unknown
13/09/2003,2003,September,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Body boarding,Yes,Yes,M,18,Left calf avulsion,No Fatal,Afternoon,Tiger Shark
29/08/2003,2003,August,Provoked,USA,Texas,1.5 miles off Surfside,Fishing,,,M,Unknown,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm,No Fatal,Morning,Bull Shark
12/08/2003,2003,August,Unknown,USA,California,"Venice Beach, Los Angeles County",Swimming,Yes,No,M,31,Left ankle lacerated,Unknown,Night,Unknown
22/05/2002,2002,May,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island",Fishing,,,M,55,Leg bitten by hooked shark PROVOKED INCIDENT,No Fatal,Afternoon,Blacktip Shark
18/04/2002,2002,April,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Yes,Yes,M,28,Left foot bitten,No Fatal,Morning,Unknown
16/02/2002,2002,February,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,Yes,Yes,M,34,Heel / foot bitten,No Fatal,Morning,Whaler Shark
04/01/2002,2002,January,Unprovoked,SOUTH AFRICA,Kwazulu-Natal,Durban Harbor,Fishing,,,M,16,Leg bitten & surgically amputated,No Fatal,Night,Zambesi Shark
31/08/2001,2001,August,Unprovoked,BAHAMAS,Abaco Islands,North of Grand Cay,Spearfishing,No,No,M,44,Torso lacerated,No Fatal,Afternoon,Bull Shark
06/11/2000,2000,November,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,Yes,No,M,49,"FATAL, torso bitten, leg severed",Fatal,Morning,White Shark
21/08/2000,2000,August,Unprovoked,USA,North & South Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming,Yes,No,M,Unknown,"Severe gash to left hand above wrist, almost severing hand",No Fatal,Unknown,Unknown
14/02/2000,2000,February,Provoked,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Feeding,,,M,Unknown,Fingers bitten PROVOKED INCIDENT,No Fatal,Unknown,Blacktip Shark
19/09/1999,1999,September,Unknown,USA,California,"North of Pidgeon Point, San Mateo County",Watercraft,,,M,37,"No injury, but kayak scraped & dented",No Fatal,Afternoon,White Shark
15/07/1999,1999,July,Unprovoked,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),Body boarding,Yes,Yes,M,14,FATAL,Fatal,Morning,White Shark
03/07/1999,1999,July,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,Yes,Yes,M,29,Leg & board bitten,No Fatal,Morning,White Shark
22/04/1999,1999,April,Unprovoked,MAURITIUS,Grand Baie,Pointe aux Canonniers,Swimming,Yes,No,F,41,Thigh bitten,No Fatal,Morning,Reef Shark
18/10/1998,1998,October,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Glengariff,Surfing,Yes,Yes,M,30,"No injury, surfboard bitten",No Fatal,Unknown,Unknown
28/01/1998,1998,January,Unknown,AUSTRALIA,New South Wales,Whale Beach,Spearfishing,No,No,M,31,"Missing, thought to have been taken by a shark",Unknown,Evening,Unknown
28/10/1997,1997,October,Unprovoked,USA,Hawaii,"Waiokapua Bay/Majors Bay, Brennecke Beach, Poipu, Kaua'i Island",Surfing,Yes,Yes,M,19,"Both legs bitten, right leg severed at mid-calf & defense wounds on right hand",No Fatal,Morning,"Tiger Shark, 4 M To 4.3 M [13' To 14']"
02/09/1996,1996,September,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,Yes,Yes,M,28,Small lacerations on left foot,No Fatal,Afternoon,Unknown
25/06/1996,1996,June,Unprovoked,USA,North & South Carolina,"Fripp Island, Beaufort County",Surfing,Yes,Yes,F,24,"Lacerations to left shin, heel & foot",No Fatal,Afternoon,Unknown
04/02/1996,1996,February,Unprovoked,AUSTRALIA,New South Wales,"Ned's Beach, Lord Howe Island",Swimming,Yes,No,M,7,Ankles injured,No Fatal,Afternoon,Reef Shark
17/11/1995,1995,November,Unprovoked,AUSTRALIA,Queensland,Great Keppel Island,Unknown,,,M,Unknown,Survived,No Fatal,Unknown,Unknown
28/09/1995,1995,September,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Surfing,Yes,Yes,M,25,"Right foot bruised, board bitten",No Fatal,Afternoon,White Shark
25/08/1995,1995,August,Unprovoked,USA,North & South Carolina,"Off Masonboro Island, New Hanover County",Swimming,Yes,No,M,16,Left arm bitten,No Fatal,Night,1.2 M To 1.5 M [4' To 5'] Shark
09/04/1995,1995,April,Unprovoked,AUSTRALIA,New South Wales,"Honeysuckle Point, Eden",Diving,No,No,M,Unknown,"No injury, shark took swimfin",No Fatal,Unknown,Wobbegong Shark
24/05/1994,1994,May,Unprovoked,USA,Florida,"Spessard Holland Park, Melbourne Beach, Brevard County",Wading,,No,F,36,Lower left calf & ankle  lacerated,No Fatal,Unknown,1.2 M [4'] Shark
21/08/1993,1993,August,Unprovoked,BAHAMAS,Walkers Cay,"Matinella Reef, 15 to 20 miles west of Walkers Cay",Spearfishing,No,No,M,51,Leg bitten,No Fatal,Afternoon,Blacktip Shark
06/11/1992,1992,November,Unprovoked,USA,Florida,"North Jetty Park, Fort Pierce, St Lucie County",Surfing,Yes,Yes,M,17,Heel bitten,No Fatal,Afternoon,Unknown
09/08/1989,1989,August,Unprovoked,BAHAMAS,Great Exuma Island,Highborn Cay,Spearfishing,No,No,F,31,Severe hand and arm injuries; right hand surgically amputated,No Fatal,Unknown,Unknown
13/12/1987,1987,December,Unknown,AUSTRALIA,New South Wales,Shoalhaven,Unknown,,,F,17,"Remains recovered from 4 m, 420-kg, caught 13-Dec-1987k",Unknown,Unknown,Unknown
01/04/1987,1987,April,Unprovoked,VANUATU,Malampa Province,Vao Island,Swimming,Yes,No,M,8,FATAL,Fatal,Morning,4.3 M Shark
17/10/1986,1986,October,Provoked,SOUTH AFRICA,Kwazulu-Natal,Umhlanga,Nsb meshing,,,M,Unknown,Minor lacerations & puncture wounds to right leg from netted shark taken onboard skiboat PROVOKED INCIDENT,No Fatal,Unknown,Raggedtooth Shark
01/10/1986,1986,October,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,Yes,Yes,M,28,Laceration to right arm,No Fatal,Unknown,Bull Shark
15/09/1984,1984,September,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Diving,No,No,M,28,FATAL,Fatal,Morning,White Shark
15/08/1983,1983,August,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",Swimming,Yes,No,F,14,Foot bitten,No Fatal,Morning,Sand Shark
15/06/1983,1983,June,Unprovoked,BAHAMAS,Unknown,Carter Cay,Unknown,,,M,30,Lacerations to hand & foot,No Fatal,Morning,Blacktip Shark
22/03/1983,1983,March,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,Surfing,Yes,Yes,M,Unknown,"No injury, board bitten",No Fatal,Morning,Blacktip Shark
15/01/1983,1983,January,Unknown,SOUTH AFRICA,Kwazulu-Natal,Amanzimtoti,Unknown,,,M,Unknown,FATAL,Unknown,Unknown,Unknown
01/11/1982,1982,November,Unprovoked,USA,North & South Carolina,"Isle of Palms, Charleston County",In waist-deep water,,,M,Unknown,Arm bitten,No Fatal,Unknown,Unknown
23/10/1962,1982,October,Sea Disaster,USA,Carolina Coast,,Yacht trashman capsized in storm,,,Unknown,Unknown,FATAL,Unknown,Unknown,Unknown
30/09/1982,1982,September,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,Yes,Yes,M,16,"No Injury, surfboard bitten",No Fatal,Afternoon,White Shark
25/09/1982,1982,September,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",Diving,No,No,M,36,Lacerations to hand,No Fatal,Morning,White Shark
